epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,25.7181,0.82734,0.92797,1.01533,0.98996,1,0.995,0.66134,1.31176,0.87406,1.14937,0.0011486,0.0011486,0.0011486
45,26.1804,0.96286,1.00556,1.05445,0.98996,1,0.995,0.66134,1.31176,0.87406,1.14937,0.0011288,0.0011288,0.0011288
46,26.6437,0.9215,0.87307,1.0514,0.98832,1,0.995,0.70192,1.20583,0.91475,1.11446,0.001109,0.001109,0.001109
47,27.1202,0.97727,0.88537,1.03814,0.98797,1,0.995,0.7352,1.23749,1.0223,1.19737,0.0010892,0.0010892,0.0010892
48,27.6103,0.90707,0.83666,1.01895,0.98456,1,0.995,0.7352,1.29207,1.01737,1.21597,0.0010694,0.0010694,0.0010694
49,28.0813,0.87731,0.89031,1.04864,0.98456,1,0.995,0.7352,1.29207,1.01737,1.21597,0.0010496,0.0010496,0.0010496
50,28.5675,1.0114,0.89571,1.06649,0.98885,1,0.995,0.68267,1.41019,0.92502,1.24322,0.0010298,0.0010298,0.0010298
51,29.0405,0.87202,0.83666,1.02885,0.98901,1,0.995,0.68267,1.28707,0.8596,1.14591,0.00101,0.00101,0.00101
52,29.515,0.89201,0.9043,1.00083,0.98946,1,0.995,0.7156,1.24535,0.79766,1.17057,0.0009902,0.0009902,0.0009902
53,29.9749,0.94789,0.89169,1.04361,0.98946,1,0.995,0.7156,1.24535,0.79766,1.17057,0.0009704,0.0009704,0.0009704
54,30.4517,0.86356,0.90546,1.02705,0.98844,1,0.995,0.7156,1.23051,0.79513,1.18908,0.0009506,0.0009506,0.0009506
55,30.9299,0.88465,0.88732,1.05121,0.989,1,0.995,0.72408,1.24165,0.84867,1.26953,0.0009308,0.0009308,0.0009308
56,31.4166,0.88804,0.81325,1.01208,0.98998,1,0.995,0.66148,1.35996,0.85202,1.3388,0.000911,0.000911,0.000911
57,31.8854,0.85504,0.78198,0.99296,0.98998,1,0.995,0.66148,1.35996,0.85202,1.3388,0.0008912,0.0008912,0.0008912
58,32.3613,0.90216,0.81963,1.01138,0.99004,1,0.995,0.69562,1.29069,0.83334,1.37039,0.0008714,0.0008714,0.0008714
59,32.8289,0.875,0.86444,1.01607,0.99024,1,0.995,0.65615,1.32883,0.81114,1.34312,0.0008516,0.0008516,0.0008516
60,33.3071,0.89513,0.81471,1.02694,0.98683,1,0.995,0.69274,1.38338,0.87194,1.33379,0.0008318,0.0008318,0.0008318
61,33.7723,0.93232,0.85707,1.0341,0.98683,1,0.995,0.69274,1.38338,0.87194,1.33379,0.000812,0.000812,0.000812
62,34.2363,0.90296,0.79749,1.02199,0.99033,1,0.995,0.73522,1.2277,0.80363,1.23194,0.0007922,0.0007922,0.0007922
63,34.713,0.88758,0.81139,1.01499,0.9926,1,0.995,0.7158,1.00482,0.65322,1.13167,0.0007724,0.0007724,0.0007724
64,35.1815,0.83497,0.74578,1.02892,0.99381,1,0.995,0.67614,1.19489,0.77195,1.22968,0.0007526,0.0007526,0.0007526
65,35.6414,1.02134,0.83576,1.09979,0.99381,1,0.995,0.67614,1.19489,0.77195,1.22968,0.0007328,0.0007328,0.0007328
66,36.1127,0.88031,0.78836,1.01749,0.99646,1,0.995,0.65709,1.22056,0.83823,1.27499,0.000713,0.000713,0.000713
67,36.5799,0.9496,0.83813,1.09533,0.99715,1,0.995,0.65725,1.20663,0.8377,1.26669,0.0006932,0.0006932,0.0006932
68,37.049,0.90313,0.85466,1.0888,0.70854,1,0.89786,0.56452,1.40918,1.12342,1.39381,0.0006734,0.0006734,0.0006734
69,37.5162,0.88724,0.77202,1.05615,0.70854,1,0.89786,0.56452,1.40918,1.12342,1.39381,0.0006536,0.0006536,0.0006536
70,37.9875,0.88483,0.80021,1.03686,0.82366,1,0.96167,0.59177,1.46395,1.1857,1.41103,0.0006338,0.0006338,0.0006338
71,38.4559,0.77004,0.74452,0.97406,0.99684,1,0.995,0.60153,1.41823,1.01685,1.38472,0.000614,0.000614,0.000614
72,38.9235,0.84239,0.71627,0.97018,0.99763,1,0.995,0.58326,1.38633,1.10371,1.33762,0.0005942,0.0005942,0.0005942
73,39.3867,0.79573,0.76873,1.00423,0.99763,1,0.995,0.58326,1.38633,1.10371,1.33762,0.0005744,0.0005744,0.0005744
74,39.8563,0.8678,0.77196,1.02863,1,0.99326,0.995,0.61576,1.3867,1.10268,1.35707,0.0005546,0.0005546,0.0005546
75,40.3304,0.77663,0.69067,0.97192,1,0.99287,0.995,0.59828,1.46985,0.99438,1.39924,0.0005348,0.0005348,0.0005348
